Manufacturing Year,Brand,Model,Distance Driven,Fuel Type,Price
2019,Honda,Honda Jazz,74K km,diesel,5.29 Lakh
2018,Honda,Honda Jazz,34K km,petrol,5.95 Lakh
2021,Kia,Kia Seltos,17.5K km,petrol,10.81 Lakh
2017,Maruti,Maruti Wagon R,84K km,petrol,3.32 Lakh
2021,Jeep,Jeep Compass,90.5K km,diesel,20.59 Lakh
2022,Kia,Kia Sonet,86.5K km,diesel,10.81 Lakh
2020,Maruti,Maruti Swift,80K km,diesel,6.14 Lakh
2013,Hyundai,Hyundai i10,119K km,petrol,2.65 Lakh
2019,Hyundai,Hyundai Creta,98.5K km,diesel,9.92 Lakh
2019,Hyundai,Hyundai Verna,33.5K km,petrol,8.05 Lakh
2023,Mahindra,Mahindra Thar,42K km,diesel,13.43 Lakh
2018,Renault,Renault Kwid,99.5K km,petrol,3.29 Lakh
2014,Hyundai,Hyundai i20,68K km,petrol,3.20 Lakh
2021,Maruti,Maruti Swift,36K km,petrol,5.52 Lakh
2022,Maruti,Maruti Baleno,30.5K km,petrol,6.89 Lakh
2016,Hyundai,Hyundai Verna,79K km,petrol,5.32 Lakh
2025,Tata,Tata Curvv,18.5K km,diesel,14.81 Lakh
2024,Jeep,Jeep Compass,58K km,diesel,25.60 Lakh
2022,Hyundai,Hyundai New i20,11.5K km,petrol,8.13 Lakh
2020,Maruti,Maruti Alto 800,35.5K km,petrol,3.07 Lakh
2016,Hyundai,Hyundai Elite i20,102.5K km,diesel,5.80 Lakh
2021,Kia,Kia Seltos,24K km,petrol,13.32 Lakh
2017,Renault,Renault Kwid,66.5K km,petrol,3.26 Lakh
2022,Hyundai,Hyundai Venue,67K km,petrol,8.13 Lakh
2018,Maruti,Maruti Celerio,85.5K km,petrol,3.71 Lakh
2019,Hyundai,Hyundai Creta,51K km,petrol,11.12 Lakh
2015,Maruti,Maruti Baleno,93K km,petrol,4.82 Lakh
2019,Hyundai,Hyundai Venue,71.5K km,petrol,7.90 Lakh
2021,BMW,BMW X1,40.5K km,petrol,27.50 Lakh
2017,Ford,Ford Figo,70.5K km,diesel,4.41 Lakh
2013,Volkswagen,Volkswagen Vento,78K km,diesel,3.78 Lakh
2017,Maruti,Maruti Ignis,58K km,petrol,4.24 Lakh
2011,Maruti,Maruti Alto K10,26.5K km,petrol,1.99 Lakh
2017,Maruti,Maruti Swift,62K km,petrol,4.69 Lakh
2017,Honda,Honda Brio,31.5K km,petrol,4.52 Lakh
2015,Hyundai,Hyundai Elite i20,53.5K km,petrol,5.35 Lakh
2013,Maruti,Maruti Alto K10,59K km,petrol,2.09 Lakh
2014,Hyundai,Hyundai Grand i10,57.5K km,petrol,3.60 Lakh
2020,Kia,Kia Seltos,30K km,petrol,12.88 Lakh
2015,Maruti,Maruti Swift,86K km,petrol,4.09 Lakh
2019,Land,Land Rover Discovery Sport,52.5K km,diesel,27.90 Lakh
2021,Hyundai,Hyundai Venue,40.5K km,petrol,9.13 Lakh
2019,Kia,Kia Seltos,105.5K km,petrol,10.50 Lakh
2018,Hyundai,Hyundai Xcent,59.5K km,petrol,5.13 Lakh
2019,Renault,Renault Kwid,33K km,petrol,3.83 Lakh
2013,Maruti,Maruti Swift,85.5K km,petrol,3.48 Lakh
2022,Hyundai,Hyundai Venue,16K km,petrol,9.18 Lakh
2012,Maruti,Maruti Swift,58K km,petrol,3.98 Lakh
2016,Volkswagen,Volkswagen Ameo,96K km,petrol,3.59 Lakh
2015,Maruti,Maruti Alto 800,94K km,petrol,2.16 Lakh
2021,Mahindra,Mahindra XUV 300,81K km,petrol,7.82 Lakh
2016,Hyundai,Hyundai i10,75K km,petrol,3.14 Lakh
2021,Jeep,Jeep Compass,59K km,petrol,16.75 Lakh
2017,Hyundai,Hyundai Eon,43.5K km,petrol,3.28 Lakh
2022,Mahindra,Mahindra Scorpio N,32K km,petrol,17.52 Lakh
2021,Maruti,Maruti XL6,113K km,petrol,9.71 Lakh
2022,MG,MG Astor,62K km,petrol,11.05 Lakh
2015,Maruti,Maruti Alto 800,92K km,petrol,2.22 Lakh
2015,Hyundai,Hyundai Elite i20,144.5K km,petrol,4.27 Lakh
2021,Mahindra,Mahindra Thar,29K km,petrol,12.42 Lakh
2021,Maruti,Maruti Alto 800,34K km,petrol,3.39 Lakh
2021,Hyundai,Hyundai Venue,17.5K km,petrol,8.55 Lakh
2020,Maruti,Maruti Swift,32.5K km,petrol,6.35 Lakh
2023,Jeep,Jeep Meridian,52K km,diesel,25.90 Lakh
2020,Honda,Honda City,58K km,petrol,9.81 Lakh
2016,Hyundai,Hyundai Elite i20,41.5K km,petrol,5.09 Lakh
2022,Maruti,Maruti S-Presso,35.5K km,petrol,4.44 Lakh
2018,Mahindra,Mahindra TUV300,95K km,diesel,6.09 Lakh
